"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.RANGRY","correlations.TILMAR","correlations.Anurans","correlations.Procambarus","correlations.Cyprinodont","correlations.Centrarchid","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00422402657816,30.5739387302386,34.9014570633745,37.9664327469099,42.1691003904426,51.6497432706107,38.9513721552491,5.5992416846413,1,-0.115065556576964,0.0506773510079834,-0.148985546160912,-0.0369846947834433,0.121793330685637,0.229186703595498,0.560410640725303,0.699921329974648
"RANGRY",1.00706457102168,0.0151812270835888,0.0747763261973409,0.148489142431252,0.268322842092307,0.619052863537624,0.19329948693544,0.158337866948526,-0.115065556576964,1,-0.227177139252533,-0.291697569971967,-0.300186130716211,-0.213690345179139,-0.184474532078415,0.00800324838514361,-0.0890940742518852
"TILMAR",1.0001958305228,0.014280256841346,0.0650279243401311,0.122593350780888,0.214802216344638,0.528800435834015,0.159497154743477,0.134280054544677,0.0506773510079834,-0.227177139252533,1,-0.207348758677526,-0.195556460369296,-0.216693135162991,-0.161358089242826,0.000104234508364803,0.025111410992507
"Anurans",1.00003573008146,0.0186014151596623,0.0844523383621368,0.163491738854816,0.268717759480849,0.541928805533886,0.19297973425479,0.139753422251297,-0.148985546160912,-0.291697569971967,-0.207348758677526,1,-0.321458582254822,-0.042627806049694,-0.124258924231085,-0.0299412225507435,-0.0896200707939264
"Procambarus",1.00905646264271,0.0199427376197341,0.0733888694163588,0.1431860349588,0.274525049877494,0.579376721519081,0.189458419111911,0.14846400795529,-0.0369846947834433,-0.300186130716211,-0.195556460369296,-0.321458582254822,1,-0.121147707173788,-0.156526277574137,0.057680529959116,-0.0766536231948905
"Cyprinodont",1.00021068754723,0.0146777656934801,0.0563824088446359,0.104580870194263,0.185018392914264,0.401276790373358,0.13354014259073,0.104909476524894,0.121793330685637,-0.213690345179139,-0.216693135162991,-0.042627806049694,-0.121147707173788,1,-0.165655631821661,0.00341917848194765,0.0518648106615617
"Centrarchid",1.00638972970834,0.0135447506651505,0.0522088589756528,0.101387928480224,0.179366021434177,0.43212846807919,0.131225062363652,0.108859450983724,0.229186703595498,-0.184474532078415,-0.161358089242826,-0.124258924231085,-0.156526277574137,-0.165655631821661,1,-0.0552915930090373,0.26822576594191
"sd[d13C]",1.00161400380425,1.04232817790607,1.89975499669423,2.64274103676004,3.83384739069485,8.84821701096814,3.27014636585777,2.46792329993088,0.560410640725303,0.00800324838514361,0.000104234508364803,-0.0299412225507435,0.057680529959116,0.00341917848194765,-0.0552915930090373,1,-0.0479031614068138
"sd[d15N]",1.0007918483411,0.43192381431295,1.03299233650552,1.65369321177625,2.45142045407583,5.83130558625642,2.0338079554546,1.65246410824968,0.699921329974648,-0.0890940742518852,0.025111410992507,-0.0896200707939264,-0.0766536231948905,0.0518648106615617,0.26822576594191,-0.0479031614068138,1
