"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.UTRPUR","correlations.Procambarus","correlations.Aquatic.Snails","correlations.Odonata","correlations.Green.Algae","correlations.Anurans","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00146666522074,96.6369608909174,98.1869731324767,100.001739243916,102.586470410488,109.337622187395,100.7676376705,3.4059259923139,1,-0.0166658643649844,-0.0447070020331384,0.00143579477522184,0.00468518502572718,-0.0180580027943216,0.0922436612062969,0.601307961433231,0.500284649746911
"UTRPUR",1.00091784021909,0.0177401177110275,0.0769328640374033,0.142811821494623,0.23624001063511,0.41587870458199,0.164692520376823,0.111205546923139,-0.0166658643649844,1,-0.13919564801201,-0.0276416808716619,-0.159112556954202,-0.415432806796299,-0.175341639217905,-0.0325432320214511,-0.0652177643436204
"Procambarus",1.00006035327935,0.0227200967432617,0.0963027891179479,0.171723981081825,0.258167579724906,0.471521036234545,0.18885125035942,0.118196350155712,-0.0447070020331384,-0.13919564801201,1,-0.41184416593403,-0.370529399778045,-0.0855881699836275,-0.0872598378977896,0.0672308522397207,0.127915032954254
"Aquatic Snails",1.00231343289005,0.0163617090170467,0.0676138123264053,0.117516165953984,0.189630768243223,0.325768649930107,0.135821790977828,0.0864166954234275,0.00143579477522184,-0.0276416808716619,-0.41184416593403,1,-0.177156040582619,-0.107719510495871,0.0243465049940643,-0.161299447511319,-0.105714503758221
"Odonata",1.00390165842424,0.0187423075467708,0.0715183254897076,0.14493595693784,0.243054996732572,0.497369623514982,0.174907658660367,0.127937473393557,0.00468518502572718,-0.159112556954202,-0.370529399778045,-0.177156040582619,1,-0.264979848564047,-0.166347075671429,-0.0271109240424949,-0.0998491527212447
"Green Algae",1.00210304423923,0.0235053903206986,0.0895743081490379,0.160078776642026,0.273581031970388,0.511565836860774,0.194289460498812,0.132995388227741,-0.0180580027943216,-0.415432806796299,-0.0855881699836275,-0.107719510495871,-0.264979848564047,1,-0.350227992766696,0.0900917878474223,0.0980308559637482
"Anurans",1.01072434208188,0.0183306407561328,0.0682696337699725,0.119533979689454,0.193154192860455,0.370540318329048,0.141437319126749,0.0955695451696662,0.0922436612062969,-0.175341639217905,-0.0872598378977896,0.0243465049940643,-0.166347075671429,-0.350227992766696,1,0.0114913449788264,0.0105240824519006
"sd[d13C]",1.00023348029185,0.547345526518131,0.88480491837776,1.08229486709342,1.35021206837738,1.93917379557678,1.12953957136086,0.364402414869324,0.601307961433231,-0.0325432320214511,0.0672308522397207,-0.161299447511319,-0.0271109240424949,0.0900917878474223,0.0114913449788264,1,0.00665073641736983
"sd[d15N]",1.00207100931165,0.539008136720338,0.87638554208234,1.0387948711391,1.25498668693981,1.80826360104736,1.07479613749476,0.31296493853417,0.500284649746911,-0.0652177643436204,0.127915032954254,-0.105714503758221,-0.0998491527212447,0.0980308559637482,0.0105240824519006,0.00665073641736983,1
