"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.PERMAT","correlations.Green.Algae","correlations.Vasc..Plants","correlations.Utricularia","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00056355645143,39.6062735551619,44.1354327489261,48.0699450300779,52.8936332442842,63.0784830565825,48.947113893046,6.23409553191286,1,0.337979488192983,-0.307169861054926,0.3472662277974,-0.118820214325454,0.675773698755223,0.648556683132955
"PERMAT",1.00089133277245,0.0179049678252931,0.070614250054049,0.125874337061752,0.239412956322893,0.561412019554307,0.177177670277181,0.148474619708033,0.337979488192983,1,-0.377752623566349,-0.0339757292153853,-0.285509772316737,0.330870174732689,-0.0122730224453074
"Green Algae",1.00401712390033,0.0322026840070789,0.164099789949022,0.321291558209119,0.520141168909314,0.800135566682693,0.352503240560702,0.224432209958188,-0.307169861054926,-0.377752623566349,1,-0.325881005307905,-0.612573376145475,-0.164891173716678,-0.0709698567756486
"Vasc. Plants",1.00065553815361,0.0177245301872626,0.0659414475586733,0.128521803694046,0.216264727065421,0.49227678735636,0.160983460986619,0.125247548404506,0.3472662277974,-0.0339757292153853,-0.325881005307905,1,-0.226070068588816,0.20489072681012,0.0669748869236289
"Utricularia",1.00012405151208,0.0300794101929849,0.141040403743416,0.26897292967977,0.446353173514106,0.780035483820276,0.309335628175498,0.208186873295919,-0.118820214325454,-0.285509772316737,-0.612573376145475,-0.226070068588816,1,-0.181476350895646,0.0449678387342397
"sd[d13C]",1.00010972901879,1.77248721644253,3.28565545583578,4.61232196395191,6.88714029264671,17.4581915903714,5.88069691108197,4.12036838970724,0.675773698755223,0.330870174732689,-0.164891173716678,0.20489072681012,-0.181476350895646,1,0.00732970718104047
"sd[d15N]",1.00191034707199,0.676801187615802,1.59809571626541,2.36392099780224,3.72555512442317,9.67634109660432,3.07542670169084,2.61532983337112,0.648556683132955,-0.0122730224453074,-0.0709698567756486,0.0669748869236289,0.0449678387342397,0.00732970718104047,1
