"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.Green.Algae","correlations.Utricularia","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00212891664597,115.729870454673,117.761855563257,119.453156370086,121.873724971644,128.855276832426,120.22570421918,3.52578231790424,1,0.408318008789223,-0.408318008789223,0.636007359257658,0.707711476222561
"Green Algae",1.00041276174213,0.0500002531207646,0.223360827131904,0.391071422282873,0.596606639613479,0.903618036217815,0.418919212295776,0.240424841474112,0.408318008789223,1,-1,0.130483284170986,0.428857322092701
"Utricularia",1.00893403149631,0.0963819637821849,0.403393360386521,0.608928577717127,0.776639172868096,0.949999746879235,0.581080787704224,0.240424841474112,-0.408318008789223,-1,1,-0.130483284170986,-0.428857322092701
"sd[d13C]",1.00311264110608,1.25940561748135,1.80324194690577,2.19667599458921,2.65884825721258,3.81712997056997,2.28577900073674,0.675971765129774,0.636007359257658,0.130483284170986,-0.130483284170986,1,0.0926422151259516
"sd[d15N]",1.00782793810426,1.1802983207157,2.18047946892712,2.69441577170117,3.29004724985481,4.94553160337275,2.79126623175219,0.944445012577772,0.707711476222561,0.428857322092701,-0.428857322092701,0.0926422151259516,1
