"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.CYBSPP","correlations.RANGRY","correlations.Cyprinodont","correlations.Anurans","correlations.Procambarus","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.01474714125336,31.4266694398727,36.142567064073,39.5747565288951,44.0069947259943,55.193780106491,40.6107109061637,6.15541681559571,1,0.161693526743946,-0.0780033990674729,-0.230089259049113,0.0105859544507526,0.0759154691072412,0.114941876523825,0.561753003655637,0.727378637388888
"CYBSPP",1.00305000631755,0.0134719511072628,0.0538687785114972,0.107029480027728,0.178863439705257,0.376667602372268,0.129867051816848,0.100595993774085,0.161693526743946,1,-0.194489301023828,-0.0752876231910335,-0.149915249515676,-0.141399754519276,-0.191147136566246,-0.0132712792815388,0.143665336809372
"RANGRY",1.0007467506113,0.0149502415003572,0.0684179767247397,0.135708832802619,0.254187398914353,0.575627071898994,0.181534698329003,0.148810574642257,-0.0780033990674729,-0.194489301023828,1,-0.293253358707667,-0.238626492046138,-0.240509980469492,-0.227990085136737,-0.0123131648368629,-0.0524062056708247
"Cyprinodont",0.999958729499318,0.0230402258824853,0.101980403941827,0.195533007781102,0.296467595046573,0.500315603333109,0.210506154946304,0.133597969995577,-0.230089259049113,-0.0752876231910335,-0.293253358707667,1,-0.176276012132513,-0.260659383317281,-0.208042660176992,0.0163084019266677,-0.188286436505847
"Anurans",1.0012691954921,0.0179598427296212,0.0692305511087693,0.134843153534299,0.237335201511265,0.450173141890535,0.165627254989053,0.12299296964505,0.0105859544507526,-0.149915249515676,-0.238626492046138,-0.176276012132513,1,-0.162829321510461,-0.213640410358076,-0.064834495103412,0.0646710800376471
"Procambarus",1.00797775155228,0.0161924142873472,0.0621776561645745,0.11642202753228,0.213194909482118,0.485288626364896,0.155735987246257,0.12862927484347,0.0759154691072412,-0.141399754519276,-0.240509980469492,-0.260659383317281,-0.162829321510461,1,-0.181923820507808,0.0431542639270357,0.00994958377571736
"Odonata",1.00090120536446,0.0149559602753027,0.0617290908210957,0.119870266365802,0.21560917350583,0.532503589370115,0.156728852672536,0.130627046428813,0.114941876523825,-0.191147136566246,-0.227990085136737,-0.208042660176992,-0.213640410358076,-0.181923820507808,1,0.0261192668584958,0.0709441901325776
"sd[d13C]",1.00054401012133,1.13201560213429,1.98983526044024,2.7798478390423,4.14234972095348,9.79382080901673,3.50923362618449,2.59142344429397,0.561753003655637,-0.0132712792815388,-0.0123131648368629,0.0163084019266677,-0.064834495103412,0.0431542639270357,0.0261192668584958,1,-0.0312678377603838
"sd[d15N]",1.01251680322788,0.563725300839971,1.13806178830643,1.77537071784339,2.85739189376105,8.00759240582402,2.38100983824056,2.10073417722383,0.727378637388888,0.143665336809372,-0.0524062056708247,-0.188286436505847,0.0646710800376471,0.00994958377571736,0.0709441901325776,-0.0312678377603838,1
