"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.RANGRY","correlations.Cyprinodont","correlations.Anurans","correlations.Procambarus","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00030442061824,30.8584878691258,34.8182143761398,37.8922043433498,42.181834167958,53.6045060625257,39.1298664797912,6.20531452019716,1,-0.105215754791968,-0.0179264645703456,-0.0536170321987114,0.105766762615751,0.0880431672975726,0.649738165779756,0.604692292620478
"RANGRY",1.00139746986815,0.0222258283124219,0.0954156900752938,0.177363914803898,0.313759876259417,0.650231961120944,0.222051603970495,0.167074893744536,-0.105215754791968,1,-0.317666928118347,-0.310410604719289,-0.303527149567795,-0.287445891003567,-0.0499208295047543,-0.0461310981216355
"Cyprinodont",1.00151627583144,0.0299605790297341,0.111080124215772,0.195837310926225,0.291549777005133,0.52931008468346,0.214252800053506,0.130870740047993,-0.0179264645703456,-0.317666928118347,1,-0.157118348898526,-0.223233521065933,-0.177239015138489,-0.0168892178014309,0.0229995932516311
"Anurans",0.999892250683441,0.0223802217568594,0.0839211408042605,0.157145130571631,0.261981402923808,0.528739017426459,0.188438464585784,0.136682318626738,-0.0536170321987114,-0.310410604719289,-0.157118348898526,1,-0.203666741454742,-0.253788263869508,-0.0501153796870137,0.00929463192289813
"Procambarus",0.999913433953451,0.0209844654316673,0.077143308072268,0.155735805564277,0.265012702344825,0.561672556742434,0.187965527578861,0.141299320029304,0.105766762615751,-0.303527149567795,-0.223233521065933,-0.203666741454742,1,-0.239874689438157,0.0829035109158803,-0.00454421307417327
"Odonata",1.00022747538783,0.0220958576058652,0.0790525348939042,0.152629122051422,0.256522782206539,0.511491181038732,0.187291603811354,0.139802891629067,0.0880431672975726,-0.287445891003567,-0.177239015138489,-0.253788263869508,-0.239874689438157,1,0.0406751121197345,0.0291056705292521
"sd[d13C]",1.00013616239647,1.03416611601892,1.85579259592404,2.68633326470807,4.12488647850727,10.8223380823168,3.51102810729634,2.87212547512217,0.649738165779756,-0.0499208295047543,-0.0168892178014309,-0.0501153796870137,0.0829035109158803,0.0406751121197345,1,0.0401981422889774
"sd[d15N]",1.00019659200221,0.482218157921973,1.01488809476831,1.48148199068421,2.18114284671914,7.57376009010866,2.01604694354132,2.64589612648622,0.604692292620478,-0.0461310981216355,0.0229995932516311,0.00929463192289813,-0.00454421307417327,0.0291056705292521,0.0401981422889774,1
