"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.Green.Algae","correlations.Utricularia","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00506360121923,36.7624239317846,40.1605994845342,43.8119301257907,47.8195138299089,59.7390658630607,44.723248141883,5.96264753921698,1,-0.118085684672717,0.118085684672717,0.630860640735819,0.660238200372026
"Green Algae",1.00347697180553,0.0714301301335642,0.368751220438477,0.571068488522082,0.759382009011264,0.937868783483883,0.553709740358052,0.246162280744664,-0.118085684672717,1,-1,-0.0104906553261703,-0.0566238364636113
"Utricularia",1.00158601768081,0.0621312165161174,0.240617990988737,0.428931511477918,0.631248779561523,0.928569869866436,0.446290259641948,0.246162280744664,0.118085684672717,-1,1,0.0104906553261703,0.0566238364636113
"sd[d13C]",1.00614125826989,0.99554117111331,1.83944018906255,2.73085500124184,4.26062825075221,11.7077881049161,3.66350522334845,3.70341521160116,0.630860640735819,-0.0104906553261703,0.0104906553261703,1,-0.010913265441964
"sd[d15N]",1.00034077929892,0.846537663429626,1.7527335703397,2.59144642051885,4.0066924554716,10.2976776104529,3.34988955545142,2.68131245835595,0.660238200372026,-0.0566238364636113,0.0566238364636113,-0.010913265441964,1
