"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.PERMAT","correlations.Green.Algae","correlations.Vasc..Plants","correlations.Utricularia","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00763511740043,117.985589645607,122.042992211815,124.749380589471,127.883837050722,135.587791233303,125.38756442782,4.6378191231913,1,0.591848374382473,0.134776589136139,0.435155136286347,-0.437430972741928,0.74446680717908,0.397863450879101
"PERMAT",1.00011502401042,0.00976721855157527,0.0344064468921629,0.0603703229332946,0.101494733242804,0.246147174106439,0.0772318522641794,0.0616758568450275,0.591848374382473,1,-0.0718388073491267,0.169905522435411,-0.241859328204902,0.433959295213864,0.0431419226934397
"Green Algae",1.00075444217358,0.0221590637913268,0.106367628033287,0.241200953301263,0.462044241132454,0.828132474383489,0.304773563206137,0.236979042546758,0.134776589136139,-0.0718388073491267,1,-0.120756723353985,-0.875672622299121,-0.0673574147395734,0.355321730771809
"Vasc. Plants",1.01591326763448,0.0136280371561657,0.0479655867074531,0.0891896907994453,0.16805688478264,0.378283265943157,0.118523418523483,0.0963202668691012,0.435155136286347,0.169905522435411,-0.120756723353985,1,-0.309900523593575,0.496058921768865,-0.241814145748865
"Utricularia",1.01166985707594,0.040560163648879,0.311290661647535,0.518895416825499,0.713074152390032,0.889941762620285,0.4994711660062,0.252282642055262,-0.437430972741928,-0.241859328204902,-0.875672622299121,-0.309900523593575,1,-0.232211946747861,-0.251991239005813
"sd[d13C]",1.00261461011082,1.66151330788238,2.46894682812186,3.02828710465449,3.77651069983933,6.212184019987,3.25924622775871,1.13489798319798,0.74446680717908,0.433959295213864,-0.0673574147395734,0.496058921768865,-0.232211946747861,1,-0.114913173639526
"sd[d15N]",1.01041107259342,0.971559537024711,1.92351835374435,2.44499824435539,3.03315832935852,4.40821272735782,2.51169196335864,0.89212897098889,0.397863450879101,0.0431419226934397,0.355321730771809,-0.241814145748865,-0.251991239005813,-0.114913173639526,1
