"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.RANGRY","correlations.Anurans","correlations.Procambarus","correlations.Cyprinodont","correlations.Centrarchid","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00132951763864,30.7008119562365,34.8577855993922,38.2334435250164,42.7392690863158,55.534676104852,39.5008365545531,6.52313314885822,1,-0.0770581895229828,-0.120116398645358,-0.0471259399646354,0.214863971197305,0.108540916118192,0.653885743111015,0.665137725875263
"RANGRY",1.0009529876516,0.0260025952603352,0.0949716437921704,0.187813752456499,0.323076432458699,0.651904728639663,0.22723267810111,0.165584872623956,-0.0770581895229828,1,-0.366243245093169,-0.370193767997159,-0.193791014357056,-0.265386558662557,0.0181522492538085,-0.0618196837438965
"Anurans",0.999943372047223,0.0281716535415569,0.114972765018046,0.209512125005965,0.328432971265182,0.573697280687486,0.237174506339686,0.151637137239727,-0.120116398645358,-0.366243245093169,1,-0.336592559654885,-0.193871158599863,-0.142833861723353,-0.0666980736803243,-0.053869958847801
"Procambarus",1.00593547312937,0.0216522969221867,0.0980510561973722,0.181135002049433,0.305522644632886,0.571031099905945,0.217966474027288,0.152834848413025,-0.0471259399646354,-0.370193767997159,-0.336592559654885,1,-0.21201353983978,-0.131968529824906,0.0414077187049869,-0.0811016115845864
"Cyprinodont",1.00043733149657,0.0196000027341535,0.0733208137592545,0.130558020490186,0.211184001889403,0.472462373151578,0.160076177364403,0.120256267784805,0.214863971197305,-0.193791014357056,-0.193871158599863,-0.21201353983978,1,-0.231960682199222,0.0315127711702386,0.191671453981352
"Centrarchid",1.00025767245339,0.0170830988073832,0.0725000965751097,0.130519703301476,0.216742527071488,0.428087965299584,0.157550164167513,0.113667033570049,0.108540916118192,-0.265386558662557,-0.142833861723353,-0.131968529824906,-0.231960682199222,1,-0.0264807085537413,0.0681864334253994
"sd[d13C]",1.00548633019779,0.998213396540884,1.94087420931278,2.80258040988073,4.48363614857927,11.7220534449367,3.66641194484449,2.87797364877822,0.653885743111015,0.0181522492538085,-0.0666980736803243,0.0414077187049869,0.0315127711702386,-0.0264807085537413,1,0.0627187244948567
"sd[d15N]",0.999920566459903,0.49615222506857,1.01300331465936,1.52339948036176,2.361355875997,7.06244219845351,2.09159032441139,2.3240482023763,0.665137725875263,-0.0618196837438965,-0.053869958847801,-0.0811016115845864,0.191671453981352,0.0681864334253994,0.0627187244948567,1
