"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Aquatic.Snails","correlations.Odonata","correlations.Green.Algae","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00134966943071,96.7463538695756,98.6587832724448,100.686134022592,103.95375844459,111.568515461632,101.705254262105,3.99078328701962,1,0.223034011010168,0.202323742849935,0.159935606421964,0.192445294697302,0.0813100848126877,-0.420292392782005,0.591106434244375,0.444170039706604
"Sphaeriidae",1.00124314580435,0.0134725968876005,0.0501987475580734,0.0819336775883021,0.128096303042814,0.231824512503045,0.0942619117669416,0.0590054887871635,0.223034011010168,1,0.215382957027105,-0.0989365115199549,-0.129285055987005,-0.0452902364301189,-0.308730206366824,0.185693508326442,-0.0157465203606728
"Cyprinodont",0.999916029743597,0.0109765898307124,0.0425467675334946,0.0702639759352025,0.103986722253816,0.183070431036246,0.0773121326870156,0.0457598313512862,0.202323742849935,0.215382957027105,1,-0.210476590127868,-0.102245429002958,-0.147166996180575,-0.08902788216883,0.0903688227380093,0.132087439094064
"Procambarus",0.999901157749967,0.0121854529362845,0.0523857022624592,0.0938910401321297,0.168941110584216,0.339765222604382,0.11877339153209,0.0875775800463896,0.159935606421964,-0.0989365115199549,-0.210476590127868,1,-0.161438118435086,-0.191706160523419,-0.239388946128416,0.169547678856889,0.0722191364292891
"Aquatic Snails",1.00122060904278,0.0122455189484755,0.0456627745059546,0.0827356263329231,0.132133192247578,0.276459051860911,0.0987800239357791,0.0713558290729778,0.192445294697302,-0.129285055987005,-0.102245429002958,-0.161438118435086,1,-0.152890390261393,-0.167454252524663,-0.0106819788892158,-0.00246650342376946
"Odonata",1.00010790532694,0.0207990241007123,0.0657019272545998,0.134558156881885,0.243803647280265,0.513214570944202,0.171874605852379,0.134528815473116,0.0813100848126877,-0.0452902364301189,-0.147166996180575,-0.191706160523419,-0.152890390261393,1,-0.670196364182063,-0.0741190712546091,-0.151960581470154
"Green Algae",0.999998887311249,0.124675227519306,0.340946175062954,0.449874689897511,0.545299777695251,0.695751781682337,0.438997934225796,0.145365342223921,-0.420292392782005,-0.308730206366824,-0.08902788216883,-0.239388946128416,-0.167454252524663,-0.670196364182063,1,-0.132131917516226,0.0631452536936501
"sd[d13C]",1.01763358391925,0.521562647827704,0.9195612614656,1.13479393455754,1.38338925780441,1.9907801325492,1.16571953418846,0.376528596335382,0.591106434244375,0.185693508326442,0.0903688227380093,0.169547678856889,-0.0106819788892158,-0.0741190712546091,-0.132131917516226,1,0.0261068507778176
"sd[d15N]",1.00608615451271,0.661985595669906,0.944041117585524,1.10513822048957,1.29274165083494,1.8563735834031,1.13951222051015,0.293155760510084,0.444170039706604,-0.0157465203606728,0.132087439094064,0.0722191364292891,-0.00246650342376946,-0.151960581470154,0.0631452536936501,0.0261068507778176,1
