"","names","interval","lower","upper"
"76","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"77","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"78","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"79","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"80","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"81","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"82","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"83","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"84","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"85","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"86","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"87","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"88","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"89","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"90","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"91","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"92","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"93","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"94","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"95","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"96","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"97","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"98","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"99","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"100","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"101","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"102","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"103","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"104","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
"105","SRS_Marsh_Dry.R.gry1","50%",0.162998358411744,0.295697384920762
"106","SRS_Marsh_Dry.S.lac1","99%",0.00839114553893172,0.387925836828281
"107","SRS_Marsh_Dry.S.lac1","95%",0.0125733537734043,0.195514252491895
"108","SRS_Marsh_Dry.S.lac1","50%",0.0263663516709985,0.0654472242231331
"109","SRS_Marsh_Dry.R.gry1","99%",0.0680326740844686,0.856307112331649
"110","SRS_Marsh_Dry.R.gry1","95%",0.0931471504063954,0.57539454560073
